City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Ancud,CL,-41.8697,-73.8203,54.23,69,59,15.59,broken clouds
239,Luderitz,NA,-26.6481,15.1594,66.15,66,1,4.32,clear sky
240,Shingu,JP,33.7333,135.9833,51.35,66,77,7.31,broken clouds
241,Bilibino,RU,68.0546,166.4372,-7.56,100,100,1.19,overcast clouds
242,Nantucket,US,41.2835,-70.0995,51.91,65,0,21.85,clear sky
243,Touros,BR,-5.1989,-35.4608,84.61,67,97,13.0,overcast clouds
244,Vardo,NO,70.3705,31.1107,19.38,93,40,10.36,scattered clouds
245,Hami,CN,42.8,93.45,49.75,33,100,20.58,overcast clouds
246,Fredericksburg,US,38.3032,-77.4605,51.62,41,100,12.66,overcast clouds
247,Portland,US,45.5234,-122.6762,62.11,82,100,4.61,overcast clouds
248,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,26.46,overcast clouds
249,Gazanjyk,TM,39.2446,55.5154,54.25,47,4,3.04,clear sky
250,Sinnamary,GF,5.3833,-52.95,81.27,76,99,12.3,overcast clouds
251,Eenhana,NA,-17.4667,16.3333,75.06,42,10,4.18,clear sky
252,Ossora,RU,59.2353,163.0719,13.96,95,100,4.29,light snow
253,Salalah,OM,17.0151,54.0924,82.49,51,0,1.14,clear sky
254,Cherskiy,RU,68.75,161.3,0.16,98,100,7.34,overcast clouds
255,Provideniya,RU,64.3833,-173.3,11.88,78,99,4.16,overcast clouds
256,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,84,40,10.36,scattered clouds
257,Kermanshah,IR,34.3142,47.065,45.5,29,75,16.11,broken clouds
258,Ca Mau,VN,9.1769,105.15,80.38,79,27,2.37,scattered clouds
259,Pacific Grove,US,36.6177,-121.9166,57.07,85,100,4.61,overcast clouds
260,Alta Floresta,BR,-9.8756,-56.0861,85.82,70,75,2.3,broken clouds
261,Kismayo,SO,-0.3582,42.5454,81.97,81,46,12.03,scattered clouds
262,Esperance,AU,-33.8667,121.9,63.03,69,99,12.28,overcast clouds
263,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,78,19,13.22,few clouds
264,Brockville,CA,44.5834,-75.6826,29.14,80,100,3.0,overcast clouds
265,Thompson,CA,55.7435,-97.8558,5.16,39,0,5.75,clear sky
266,Middelburg,ZA,-25.7751,29.4648,64.42,55,3,7.83,clear sky
267,Port Keats,AU,-14.25,129.55,80.71,81,100,5.21,overcast clouds
268,Montauban,FR,44.0833,1.5,57.6,58,13,7.4,few clouds
269,Laguna,US,38.421,-121.4238,66.49,65,0,8.05,clear sky
270,Bafq,IR,31.6128,55.4107,63.28,12,0,4.21,clear sky
271,Longyearbyen,SJ,78.2186,15.6401,6.64,72,20,12.66,few clouds
272,Colares,PT,38.7992,-9.4469,70.29,54,20,8.05,few clouds
273,Port Blair,IN,11.6667,92.75,80.64,94,20,2.3,mist
